project_name,twitter_url,username_account
CryptoPunks,https://twitter.com/cryptopunksbot,cryptopunksbot
Loot,https://twitter.com/lootproject,lootproject
Creature World NFT,https://twitter.com/creaturenft,creaturenft
Parallel Alpha,https://twitter.com/ParallelNFT,ParallelNFT
Cool Cats,https://twitter.com/coolcatsnft,coolcatsnft
Blitmap,https://twitter.com/blitmap,blitmap
Pudgy Penguins,https://twitter.com/pudgy_penguins,pudgy_penguins
Meebits,https://twitter.com/larvalabs,larvalabs
0n1 Force,https://twitter.com/0n1force,0n1force
Voxies,https://twitter.com/VoxiesNFT,VoxiesNFT
Bastard Gan Punks V2,https://twitter.com/bganpunks,bganpunks
Euler Beats,https://twitter.com/eulerbeats,eulerbeats
R-PLANET,https://twitter.com/RPLANETio,RPLANETio
Deafbeef V2,https://twitter.com/_deafbeef,_deafbeef
Degens Farm,https://twitter.com/DegensFarm,DegensFarm
AnRKey X,https://twitter.com/anrkeyx,anrkeyx
Substrata,https://twitter.com/SubstrataVr,SubstrataVr
Weezer,https://twitter.com/WAX_io,WAX_io
Upland Collectibles,https://twitter.com/uplandme,uplandme
Monsters of Rap,https://twitter.com/Monsters_of_Rap,Monsters_of_Rap
Blockchain Heroes,https://twitter.com/bc_heroes,bc_heroes
Bitcoin Origins,https://twitter.com/BitcoinOrigins,BitcoinOrigins
AtariNFT,https://twitter.com/atari,atari
Topps GPK,https://twitter.com/WAX_io,WAX_io
The Horrors,https://twitter.com/UltraRareUK,UltraRareUK
ApeSwap,https://twitter.com/ape_swap,ape_swap
WAX Packs,https://twitter.com/WAX_io,WAX_io
Ember Sword,https://twitter.com/PlayEmberSword,PlayEmberSword
Plasma Bears,https://twitter.com/plasmabears,plasmabears
Alien Worlds,http://twitter.com/alienworlds,alienworlds
Waves Ducks,https://twitter.com/wavesducks,wavesducks
Incognito,https://twitter.com/IncognitoNFT,IncognitoNFT
SupDucks,https://twitter.com/RealSupDucks,RealSupDucks
The Vogu Collective,https://twitter.com/the_vogu,the_vogu
Fang Gang,https://twitter.com/FangGangNFT,FangGangNFT
Aavegotchi,https://twitter.com/aavegotchi,aavegotchi
Fluf World,https://twitter.com/FLUF_World,FLUF_World
Fatales,https://twitter.com/FatalesNFT,FatalesNFT
Gutter Cat Gang,https://twitter.com/guttercatgang,guttercatgang
PILLS,https://twitter.com/pillheadddd,pillheadddd
Al Cabones,https://twitter.com/alcabonesNFT,alcabonesNFT
Lazy Lions,https://twitter.com/LazyLionsNFT,LazyLionsNFT
Rarible,https://twitter.com/rariblecom,rariblecom
NBA TopShot,https://twitter.com/nba_topshot,nba_topshot
Foundation,https://twitter.com/withfnd,withfnd
Curio Cards,https://twitter.com/MyCurioCards,MyCurioCards
Bored Ape Kennel Club,https://twitter.com/boredapeychttps://twitter.com/boredapeyc,boredapeyc
ZED RUN,https://twitter.com/zed_run,zed_run
KnightDoge,https://twitter.com/knightdoge_army,knightdoge_army
Damien Hirst - The Currency,https://twitter.com/HENIGroup,HENIGroup
Adam Bomb Squad,https://twitter.com/AdamBombSquad,AdamBombSquad
Art Blocks,https://twitter.com/artblocks_io,artblocks_io
GEVOLs,https://twitter.com/gevolsNFT,gevolsNFT
CyberKongz,https://twitter.com/CyberKongz,CyberKongz
Bored Ape Yacht Club,https://twitter.com/BoredApeYC,BoredApeYC
Axie Infinity,https://twitter.com/AxieInfinity,AxieInfinity
